Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2025-09-25,2025-10-09 06:26 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_DPP,1.0/M.KR.3.1.1.3.6.0?","https://data.bis.org/topics/RPP/BIS,WS_DPP,1.0/M.KR.3.1.1.3.6.0?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/RPP

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COVERED_AREA:Covered area,RE_TYPE:Real estate type,RE_VINTAGE:Real estate vintage,COMPILING_ORG:Compiling agency,PRICED_UNIT:Priced unit,ADJUST_CODED:Seasonal adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-05-31,F:Free,,A:Normal value,56.1
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-06-30,F:Free,,A:Normal value,56.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-07-31,F:Free,,A:Normal value,57.5
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-08-31,F:Free,,A:Normal value,57.7
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-09-30,F:Free,,A:Normal value,57.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-10-31,F:Free,,A:Normal value,57.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-11-30,F:Free,,A:Normal value,57.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2005-12-31,F:Free,,A:Normal value,57.9
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-01-31,F:Free,,A:Normal value,58.2
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-02-28,F:Free,,A:Normal value,58.6
